ave0,ave1,ave2,ave3,ave4,ave5,ave6,ave7,ave8,ave9,med0,med1,med2,med3,med4,med5,med6,med7,med8,med9
249.3914788,280.9580737,304.4185059,355.3730424,350.37035,396.2840143,250.4861067,188.9607152,201.7239429,210.2349622,262.0908,292.3194,299.1718,374.5476,338.192,418.1258,253.4724,199.0708,209.5092,212.9144
227.6342545,207.9082105,221.8752,254.6372727,177.6346875,220.483,241.6336138,136.4020727,163.1449212,137.6112973,240.4508,221.5246,222.179,257.9924,179.0796,240.556,246.244,142.0328,167.2632,130.3768
519.1243294,381.1331368,579.5561882,255.3308485,306.5456121,421.6671714,409.07,380.1684485,384.5267059,375.7915568,550.5586,378.7528,580.9746,255.7756,310.3456,437.6034,434.484,367.6416,407.506,369.332
51.34129697,93.33717895,104.0754706,105.144303,81.7545,108.9352,77.54467586,66.87638788,89.65776471,104.5574811,54.0112,93.285,106.3392,107.2008,82.4308,114.3284,77.48,69.958,89.8996,102.8732
37.58855758,60.86982105,74.32644706,22.1362,6.583088889,4.641571429,4.438114286,35.96478095,49.18487692,33.58540741,41.1424,62.9996,75.0114,21.5626,5.5894,4.8092,4.1088,30.1472,46.1142,33.9744
41.7776,51.65628421,63.17121176,56.78642424,52.0580375,64.49512857,57.79696552,46.46117576,49.05003636,77.34128649,43.968,52.4114,63.5764,57.6244,52.6956,67.1132,60.8432,48.1292,49.4108,78.5332
21.59206667,39.25629474,41.13741176,45.78055758,15.93989091,57.0459871,60.58165517,4.486023529,24.62293333,24.71028235,21.7296,41.5282,41.5754,46.6636,13.2436,61.2224,65.1548,4.7608,24.4014,23.9338
0,285.0764316,291.0265647,205.2249576,64.90322424,148.8439571,140.8131862,108.3999394,159.2840471,97.62465946,0,292.6412,295.004,199.5492,65.4992,160.8954,143.7528,101.572,160.3208,92.7128
355.0083636,273.6781684,254.3820941,258.0138545,221.8256364,296.0717241,256.7536828,167.0261765,171.1048353,155.5812,386.3196,283.9424,253.7296,265.938,209.3596,316.7956,262.9532,165.2076,175.7332,155.0808
